,mc1,mc10,mc100,mc101,mc102,mc103,mc104,mc105,mc106,mc107,mc108,mc109,mc11,mc110,mc111,mc112,mc113,mc114,mc115,mc116,mc117,mc118,mc119,mc12,mc120,mc121,mc122,mc123,mc124,mc125,mc126,mc127,mc128,mc129,mc13,mc130,mc131,mc132,mc133,mc134,mc135,mc136,mc137,mc138,mc139,mc14,mc140,mc141,mc142,mc143,mc144,mc145,mc146,mc147,mc148,mc149,mc15,mc150,mc151,mc152,mc153,mc154,mc155,mc156,mc157,mc158,mc159,mc16,mc160,mc161,mc162,mc163,mc164,mc165,mc166,mc167,mc168,mc169,mc17,mc170,mc171,mc172,mc173,mc174,mc175,mc176,mc177,mc178,mc179,mc18,mc180,mc181,mc182,mc183,mc184,mc185,mc186,mc187,mc188,mc189,mc19,mc190,mc191,mc192,mc193,mc194,mc195,mc196,mc197,mc198,mc199,mc2,mc20,mc200,mc201,mc202,mc203,mc204,mc205,mc206,mc207,mc208,mc209,mc21,mc210,mc211,mc212,mc213,mc214,mc215,mc216,mc217,mc218,mc219,mc22,mc220,mc221,mc222,mc223,mc224,mc225,mc226,mc227,mc228,mc229,mc23,mc230,mc231,mc232,mc24,mc25,mc26,mc27,mc28,mc29,mc3,mc30,mc31,mc32,mc33,mc34,mc35,mc36,mc37,mc38,mc39,mc4,mc40,mc41,mc42,mc43,mc44,mc45,mc46,mc47,mc48,mc49,mc5,mc50,mc51,mc52,mc53,mc54,mc55,mc56,mc57,mc58,mc59,mc6,mc60,mc61,mc62,mc63,mc64,mc65,mc66,mc67,mc68,mc69,mc7,mc70,mc71,mc72,mc73,mc74,mc75,mc76,mc77,mc78,mc79,mc8,mc80,mc81,mc82,mc83,mc84,mc85,mc86,mc87,mc88,mc89,mc9,mc90,mc91,mc92,mc93,mc94,mc95,mc96,mc97,mc98,mc99
EX_12dgr180_m,0.00095450876113,0.000433965188473,0.000501977618014,0.0,0.000424136707516,0.000303165972284,0.000305919086058,0.0,0.001786240017634,0.000782399138945,0.00066397965771,0.00268782212473,0.0,0.003941898478579,0.000612286109,0.000413535653332,0.000765959875038,0.0007655099623,0.001587043227192,0.000349174086518,0.000883241192137,0.000392329037783,0.000794256558628,0.000766454447715,0.000456316146379,0.00054184505478,0.0,0.001029360392904,0.000795092301423,0.00057379163177,0.00216614668562,0.00049199285952,0.000765803052527,0.0,0.0,0.000139458839295,0.000774862426803,0.0,0.0,0.003159146260389,0.002373063733877,0.000765526405823,0.000490875920249,0.000772789735408,0.0,0.000777467202432,0.0,0.000788509263728,0.000344479027119,0.001205768576372,0.000423873921073,0.000353488280746,0.007314197181522,0.0,0.000871624612665,0.000115806345474,0.000237586327385,0.0,0.0,0.0,0.0,0.0,0.001356154568585,0.000183638631536,0.000782679991047,0.001892215431669,0.0,0.000546693336088,0.0,0.001925349059297,0.0,0.000327276839575,0.000170321786105,0.0,0.0,0.0,0.000374788314241,0.0,0.0,0.000363408416425,0.0,0.000415991012896,0.000220155448004,0.0,0.002722768473118,0.000334470277539,0.000785454907335,0.0,0.000409659862642,0.0,0.0,0.0,0.00011182142378,0.0,0.0,0.00033183791812,0.0,0.0,0.0,0.000666662516712,0.0,0.003886800478532,0.002030015108976,0.000706097492778,0.001641772661205,0.00048787976258,0.000394083570225,0.001880728965954,0.010515244673081,0.000488980688843,0.0,0.0,0.000518433653309,0.0,0.000704955260136,0.0,0.000797917914556,0.0,0.000529730654866,0.000488008049783,0.000584309704816,0.00043602545193,0.0,0.001456692256131,0.0,0.000610551821327,0.000753026231711,0.0,0.000426363964488,0.0002880671477,0.001899360644827,0.0,0.005908062797604,0.000433627344826,0.000760070784377,0.00018429753502,0.0,0.000414640596095,0.000180628990217,0.0,0.001815274398595,0.000683529471568,0.001559151423762,0.000765199678198,0.0,0.000116924872759,0.002778514955832,0.000489204554471,0.000936059385175,0.000754291752523,0.0,0.000797167152915,0.000749029248629,0.000935278144697,0.0,0.0,0.000430113563174,0.001110272071591,0.0,0.000192411710157,0.000785196922732,0.000701491811705,0.0,0.00619121352642,0.0,0.000475266812998,0.000105644035384,0.000304791673629,0.000369041788093,0.000343547166228,0.004174239314361,0.001389462701877,0.001111158753157,0.000798005457159,0.000232285164274,0.0,0.004664809845562,0.0,0.00072992310897,0.000872925492739,0.00018892344694,0.000412974591202,0.000817298157709,0.000406933693,0.00080208926392,0.000792462091535,0.0,0.002980007259803,0.0,0.0,0.0,0.000112687946762,0.0,0.000704053762481,0.000810258199978,0.0,0.001384235897817,0.000148357524327,0.000242520459633,0.00020084499585,0.000166681181746,0.000634475125568,0.001385261311501,0.0,0.001211683794511,0.000716340681478,0.0,0.0,0.000122431306702,0.0,0.005419298465738,0.0,0.000728370047516,0.001458639434486,0.000111058798637,0.000620718892616,0.0007065522594,0.000606078360207,0.0,0.000786823716864,0.000206397124615,0.0,0.000768109033743,0.000889270057733,0.0,0.001545947512974,0.000440773996124,0.00072880321566,0.000904692458174,0.001134274481404,0.000775548386254,0.0
EX_12dhchol_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_12ppd_S_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_13ppd_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_15dap_m,0.036789900207622,0.0,0.0,0.0,0.110122650246552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145085987426612,0.0,0.0,0.074479151740937,0.0,0.0,0.0,0.077885370702614,0.108325194192258,0.0,0.048863249939276,0.075791019525835,0.059446813770938,0.0,0.108417931747164,0.0,0.0,0.191295077444528,0.054057715607446,0.080194790543759,0.193279289440293,0.0,0.12877895236964,0.0,0.142859807353279,0.0,0.0,0.0,0.0,0.0,0.111082037262515,0.0,0.334348869644189,0.054867193108399,0.0,0.059813200498132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966120880997096,0.0,0.0,0.048739044114087,0.15110342881332,0.0,0.12167140688524,0.0,0.0,0.031691189761758,0.201628241212049,0.0,0.0,0.085018754688672,0.128057946775542,0.0,0.181572569835398,0.49931965747624,0.273736263736264,0.129289037337469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050175163713792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11584810796507,0.045661748317211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106038415366146,0.0,0.0,0.162766158658568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664426467914924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52378446115288,0.0,0.0,0.0,0.052271010012946,0.0,0.0,0.0,0.10034698890426,0.0,0.0,0.0684482002825,0.092788799858076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055815266301235,0.86185786143112,0.285974025974026,0.0,0.0,0.290402949423616,0.0,0.0,0.0,0.0,0.0,101.911057360434,0.110625314454108,0.0,0.0,0.0,0.091963853940412,0.155797117703135,0.064946312873463,0.0,0.0,0.830424245695472,0.0,0.103531216043354,0.0,0.0,0.0,0.0,0.0,0.043236393851267,0.0,0.142411966731493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171757331651057,0.0,0.0,0.032854530910753,0.077164000095948,0.0,2.87225402504472,0.0,0.0,0.048172795521059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08742268484666,0.0,0.090509404962307,0.0,0.19058690744921,0.372474364477512,0.0,0.054350814946225,0.0,0.0,0.0
EX_1hibup_S_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_1hibupglu_S_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_1hmdgluc_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_1ohmdz_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_26dap_M_m,0.250045508145469,30.8860060229193,175.644975138495,0.0,32.9909176991439,42.2254445332347,15.033443318296,1.45020131361446,0.194755334933347,0.342725244516516,1.45635298254469,6.20314287900501,0.210613769221177,26.4996173255954,0.565521578453011,16.8985540387932,0.49422910565366,15.7341616871443,11.2100747864292,84.6327618538913,43.5536020390385,4.15049685329089,0.360127661537527,0.835283551838624,8.163142561586,0.292062470914087,1.05783487921044,61.1038927206676,0.639064060505494,29.4156918569168,105.420514961298,1.89251191785706,50.2244724340988,2.33507873926463,0.164319972116641,0.46112657866413,0.418017367510668,22.9660652814803,5.86872643184998,14.5586927286846,1.14397126252282,0.0,84.7960061110121,54.0994371666567,0.250304543128669,0.263208092078697,93.3509071609516,0.248666083414695,99.9383287691639,0.30977715748335,67.5129934009686,48.6294681310579,1.76620510341578,1.99743450670109,0.693588599298406,20.4209043033976,19.0884026425278,3.12251374754082,2.74119217872016,9.0872680105122,0.801116816678547,43.2450314928654,33.9273468931738,61.4487679474239,23.005904661283,1.6330621633002,0.233932410043495,0.282116804177641,1.95396903607777,34.4749326088347,1.1166251276857,8.22857704113454,22.0298140366519,0.483622833736264,50.1325372459801,0.883853294405595,57.2857268167797,0.39545395729344,0.423347611525157,42.4922105219709,8.51922534126016,67.1360281043113,39.6514407309148,0.02334767801419,0.000870655812072,0.009966760852966,0.0,0.348462701541251,110.649970931418,2.52134034388954,58.9491809193358,0.187112939045084,52.3856496437325,1.61363861656174,3.88802307076115,62.1184598313662,3.26766187071725,4.18791864455591,0.198076456295072,5.82542365047459,1.32095669837909,64.1781485589297,27.6427144546637,80.6585288778974,102.644503952642,11.108313642679,10.2666885882469,56.7341278756641,1.14472898760016,80.4923707025427,12.7773339181933,62.4849518392604,0.824836217229992,0.047542954141657,51.3148398553291,2.32448965142599,0.492158127988943,3.11693060452457,0.492340445014948,71.0550101700654,48.733445558412,3.1246710229644,2.36909086231959,49.9277800164567,1.69345762770338,0.736489233785289,1.50614292882528,0.018732695729957,4.0904066738101,28.6151137333096,38.859129738356,1.1462820611241,10.1980819818579,50.6767490731326,6.19714001299567,43.5893736533098,0.637285716374589,35.7814576942935,1.08183056605181,6.1260780589004,31.7703330180619,0.221249678667095,10.2786443843651,108.747264222998,5.33422010550761,5.7756206297619,0.337914781044408,2.2335492346907,44.3798576427722,2.26923415172651,0.199064889137237,0.080946155672931,4.89116691093259,71.8938934535473,0.311356930582862,1.96396134850664,49.2363012394913,5.51881992749771,1.25565456989948,0.804150121506243,0.826616630183939,0.737926676812952,1.39624420647943,1.04062585513394,1.28352394016732,0.327764347896589,13.8881144628651,40.0484491895089,65.2283253144739,68.8128095601513,66.0683016988004,28.2954814049657,2.59924779864626,0.265785335537145,57.0144774395009,4.67204831164005,1.41793862435216,3.73473279067059,2.91087621415413,5.33656876533684,0.854009932585213,54.4523539859144,89.7324177454971,0.584112238254081,75.410469956378,1.35058196840795,10.5756406101649,57.0916472626656,6.55388078537544,1.98825420956298,115.787268413009,21.8476065710797,1.11544958575233,0.185999489298568,0.481558620809099,0.679108291042567,127.352048443539,79.7519616839512,3.39226190492395,53.8564817708692,6.37291303462306,6.09574807814586,103.274442918361,1.19386965891064,5.98026921905501,0.782805535657885,0.192114504588063,3.20940156168248,2.8752677718199,1.70042952405678,6.49993451847687,1.95453530265237,9.13199328987372,20.3046920437937,13.5231098324179,0.475980129236507,5.29858526009425,1.0707154879333,1.64388799432062,45.4173576296524,55.0828786156065,0.282082549307497,1.13140082516215,84.9929638536102,1.22688095238481,6.34167875633667,158.412199488224,8.9421855320636,1.05791626453265,4.05376946076605,1.31632861035913,0.066437150960607
